tag,mean_rating,usage_count
pressure-canning,3.6742424242424243,132
honduran,3.7982456140350878,114
unprocessed-freezer,3.824915824915825,297
birthday,3.944741532976827,561
jellies,3.9685714285714284,1050
water-bath,3.9867256637168142,2260
dehydrator,4.018072289156627,166
ice-cream,4.024793388429752,121
guatemalan,4.026737967914438,187
filipino,4.050793650793651,945
pressure-cooker,4.0568248388986525,1707
crawfish,4.082018927444795,317
native-american,4.084905660377358,636
czech,4.096069868995633,687
cantonese,4.096385542168675,249
fudge,4.105135217259192,3291
canning,4.107773851590106,6226
cupcakes,4.112017508953442,5026
college,4.116788321167883,137
beef-liver,4.126760563380282,284
nigerian,4.130434782608695,115
beef-organ-meats,4.145299145299146,468
pennsylvania-dutch,4.15566037735849,848
pheasant,4.171974522292993,157
macaroni-and-cheese,4.173076923076923,208
dairy-free,4.174468085106383,940
leftovers,4.193370165745856,724
hungarian,4.193592365371506,1467
polish,4.199086410354016,2627
pumpkin,4.204819277108434,166
quebec,4.205128205128205,702
mothers-day,4.211538461538462,104
whitefish,4.214689265536723,354
peruvian,4.218390804597701,522
mahi-mahi,4.219858156028369,705
colombian,4.224615384615385,325
hunan,4.227777777777778,180
nut-free,4.229202037351443,589
jams-and-preserves,4.230832873690017,3626
chicken-livers,4.230994152046784,342
meatloaf,4.231134878193702,1683
copycat,4.232176859770857,30985
ecuadorean,4.233128834355829,163
soy-tofu,4.233805888767721,4585
malaysian,4.23400365630713,547
tempeh,4.236593059936909,317
moose,4.238095238095238,210
rolled-cookies,4.2440254330190745,4561
cake-fillings-and-frostings,4.249653957468227,7947
infant-baby-friendly,4.257154057232458,2551
micro-melanesia,4.262820512820513,156
novelty,4.265581543792459,43866
perch,4.272222222222222,180
smoker,4.279329608938547,716
lobster,4.280593325092707,809
gumbo,4.281473899692937,977
crock-pot-slow-cooker,4.281897502369944,51689
south-african,4.283296541574687,1359
venezuelan,4.283898305084746,236
cod,4.284375,2240
cakes,4.284457305985179,51143
brazilian,4.284656084656085,945
elbow-macaroni,4.287176054317682,10457
costa-rican,4.291291291291292,333
puerto-rican,4.2946058091286305,482
soul,4.296964725184577,1219
plums,4.298333333333333,600
beef-ribs,4.299088145896657,1645
oysters,4.300904977375565,442
whole-duck,4.303225806451613,155
pancakes-and-waffles,4.305036937541974,14890
sourdough,4.30633147113594,1074
celebrity,4.306419589675712,3022
amish-mennonite,4.309790550414029,2053
sole-and-flounder,4.311507936507937,1008
gelatin,4.31169324221716,2634
portuguese,4.313138189244384,1469
cuban,4.3138010794140325,1297
ethiopian,4.318435754189944,358
from-scratch,4.318676267810633,6527
1-day-or-more,4.318805840052299,9178
norwegian,4.318901795142556,947
muffins,4.3195927626846675,18073
candy,4.319617689940062,12346
iranian-persian,4.320952380952381,1050
wild-game,4.3231121281464535,2185
rolls-biscuits,4.323137876386688,12620
chocolate-chip-cookies,4.323931623931624,1170
chilean,4.324324324324325,444
simply-potatoes,4.32501450957632,1723
elk,4.325581395348837,258
pakistani,4.325726141078838,482
egg-free,4.326197355748183,22842
drop-cookies,4.326551982049364,20055
pork-ribs,4.327415264007378,4337
dutch,4.327677624602333,943
libyan,4.328,125
german,4.329075774971297,6968
crab,4.329414032382421,5188
cookies-and-brownies,4.329742774736594,67956
