tag,mean_rating,usage_count
ragu-recipe-contest,4.822727272727272,220
simply-potatoes2,4.770642201834862,109
non-alcoholic,4.689655172413793,754
a1-sauce,4.628491620111732,358
labor-day,4.609756097560975,164
punch,4.597644141351519,3226
lettuces,4.591854419410745,3462
cocktails,4.589169523542993,14293
mashed-potatoes,4.587257617728532,361
smoothies,4.57896245342505,6978
avocado,4.573529411764706,272
turkey-burgers,4.568897637795276,508
beverages,4.568292381775528,40495
asparagus,4.56297371391711,6201
mango,4.5625,2256
shakes,4.560470924009989,2803
memorial-day,4.559701492537314,134
omelets-and-frittatas,4.54326750448833,5570
salsas,4.5408986175115205,3472
strawberries,4.54038787422331,10622
greek,4.539308745743062,13801
salads,4.537457124393113,60349
barbecue,4.537237137395063,24062
australian,4.536693785121194,11923
grilling,4.531861061914917,27667
polynesian,4.5315870570107855,649
stocks,4.529378531073446,1770
reynolds-wrap,4.525515743756786,921
baking,4.524718126626192,3459
baja,4.5241210139002455,1223
turkey-breasts,4.5227272727272725,880
spreads,4.522433090024331,10275
moroccan,4.522361359570662,3913
lime,4.520684292379471,3215
salmon,4.519319182236134,10223
black-beans,4.516121467932935,8529
danish,4.514456630109671,1003
marinades-and-rubs,4.511631743936644,6061
tex-mex,4.511617057012224,10717
burgers,4.511402231926249,2061
sandwiches,4.510555234239445,27664
oranges,4.509535271246065,5401
duck-breasts,4.507142857142857,140
,4.506353861192571,1023
served-cold,4.505836221046872,32898
melons,4.505520883341335,2083
belgian,4.504750593824228,842
hidden-valley-ranch,4.5032437442076,1079
summer,4.501328555899996,49678
kiwifruit,4.497975708502024,494
raspberries,4.496850393700788,3810
tomatoes,4.495990693423075,24069
cambodian,4.495412844036697,109
salad-dressings,4.495076366559486,9952
peanut-butter,4.494346733668341,1592
superbowl,4.494141012909632,10070
broil,4.4928073426882005,11331
spanish,4.492708333333334,4800
steak,4.491828202204485,7893
ravioli-tortellini,4.491008600469116,3837
french,4.490509788333499,10063
citrus,4.490387955993052,17270
berries,4.489107650845935,26716
no-cook,4.488824277666727,33018
green-yellow-beans,4.487761387583077,6169
southwestern-united-states,4.486814260133485,24572
greens,4.484921302414994,16646
south-west-pacific,4.484799162936697,17203
pineapple,4.4843778549241735,10946
bacon,4.483529739259534,10777
dips,4.481969452983946,20493
herb-and-spice-mixes,4.481898138678666,4889
iraqi,4.480769230769231,312
side-dishes,4.4785147433563885,137350
thanksgiving,4.47812804679883,30770
mushrooms,4.476751946607341,13485
pears,4.4766227871084885,2203
independence-day,4.476315628629057,16361
spinach,4.47431421446384,8020
roast,4.474286220961163,11278
onions,4.4721298900536945,23466
refrigerator,4.471984987170158,26111
15-minutes-or-less,4.468633178152383,200626
tilapia,4.468048359240069,4053
saudi-arabian,4.466666666666667,405
peppers,4.466519318925998,12216
camping,4.46528555431131,8930
eggplant,4.463855421686747,166
spring,4.463777299032653,23673
turkish,4.463447350771294,1491
mexican,4.461699424557208,40143
appetizers,4.461235173644956,91307
lemon,4.460339943342777,7766
zucchini,4.459882583170255,511
potatoes,4.458092060913003,57853
brunch,4.457954447042522,92376
dinner-party,4.457761881352021,199346
high-fiber,4.457440966501922,1821
african,4.4559396299902625,12324
cajun,4.455811989867717,7106
